user,amount,liquidity
126WehUFQvJN4ATHMwb5aU2mh5ucxWjRm2,2000,7.07E+20
12ak7PbV1Gz6rHgNCR8d8rUrfbwa8aM11p,2000,7.07107E+20
12c5sLJTDhhf3yvNnQGRFMKYXfKkrpnvDB,2000,7.07107E+20
12D5hcbkLN7CSbt1tEorE53T58UPp2935v,2000,7.07107E+20
12kK6AumVWa4eLyhEwqxZPHCvLv7VRMMDP,2000,7.07107E+20
12MdNy1A8cBTMpZt8MZ8NC2NFNLug2sNxV,2000,7.07107E+20
12sXdhq8BFC7BG6EoNSHdzoQmvnriMCDSC,2000,7.07107E+20
12vFW4AnM7U7eouwUMudHDRY73quX5ncVQ,2000,7.07107E+20
12vpmaDNvp2JLmvN5NFABNfbMmbNr1K4F2,2000,7.07107E+20
12yxYAdw4JGQRf45hkf1zvB7y4cj9poKop,2000,7.07107E+20
13exDSrD9s12EZ9vPHgnYWqZDVhAc81he1,2000,7.07107E+20
13EyB4RB7cD8WZdxwmCCE8RUmdiu3VGA1,2000,7.07107E+20
13gBcAQpBtHr6AJZ8vPLx4D69VbfcSuNtb,2000,7.07107E+20
13kL7QshRfvFf3FMU26D85V9Gmn4vW5tvZ,2000,7.07107E+20
13otYtS4YwsNgbWiXcvPKTC23xvkUKe5x9,2000,7.07107E+20
13UdwwmiteGJsHsLnEHNvdM13a74G6byf8,2000,7.07107E+20
13XkqU5jXZ7swdSLNU3gkQbZhEb7THaQiH,2000,7.07107E+20
14fGxDcAcP8NQR2tWL81jmfMCtemVA2qVy,2000,7.07107E+20
14gKnHhR3e2LjfBsg6Eh4eMu6W9xGAbNWd,2000,7.07107E+20
14xw7Wd8XBqKXyJ2cX22u4PcPoTappPird,2000,7.07107E+20
15aYdPXg4tzcwuLfQHDcSqQMyWGnPbK8Ph,2000,7.07107E+20
15bpTsDy1hZWG7uJQsWATfoup7Sjq9HKET,2000,7.07107E+20
15LV39YCJfGQms6sjRoBZiZ7uYny8Sb6pw,2000,7.07107E+20
15qHpVaxF5PKsdHvdbRkb2EQB7ZAwQSsjC,2000,7.07107E+20
15ttdR8JmF2NxUNegK7q66pHkiK7J8CnB6,2000,7.07107E+20
16Hi9SoZ83emwrTMX7DEMotyJRbq4Bg2mA,2000,7.07107E+20
16u1HpCRro1NSBniQqdKPoXEoU1hFf2jWE,2000,7.07107E+20
1753TMYHeZMSczEWDWEvXKoyrd9oDUsm1J,2000,7.07107E+20
177F4gK7izMEpokhAkkbvHdnoFMn9dCbJi,2000,7.07107E+20
17fKXP9RbkJepCUqFncf81tHDbvhPm2oXC,2000,7.07107E+20
17fqdr7BtKEyfu3PGfuS4eVyA9Wr7Tr6n3,2000,7.07107E+20
17udTi4tKtY5wZMRMSRgoaF3UtCaML8fqi,2000,7.07107E+20
183d2r89Ty3uw8TLpMQKdKtowotMQXC65g,2000,7.07107E+20
18b3ovnXHub7NiydNeBRLMuWsy4P8kd8BQ,2000,7.07107E+20
18nTFyTWwCiQwxPTu6gcaVKSdgxhCJpKxC,2000,7.07107E+20
18tNcV7is2q6G62AjFxSQxdgCjGM3KwDub,2000,7.07107E+20
18Wo1NednWv5vqoYZunn1xJt5mU2BR93tw,2000,7.07107E+20
196snVVPUMgkKS8PrhEqRvEB1TXbkETSnS,2000,7.07107E+20
1989X3fYDgQwGPpWGE5b9ZEMwDka4oBoec,2000,7.07107E+20
199g8YhdxNCb1j1bmk8QnF7cqmBdMvpoLHi,2000,7.07107E+20
19dHBTgr6C4Dfxz6Wpijk1gfwNrA1PY4Sv,2000,7.07107E+20
19fyZbwDmvnSpfLksxoDbNdQGqWro2zbDR,2000,7.07107E+20
19nswBRyMhQhvXnqYWcppuuoFFQxLFf9Fe,2000,7.07107E+20
19vKdYFBszbW4TqGS2rAY1bQrKs8f847in,2000,7.07107E+20
19WpdhvZ24ckCZNvgGXWd5NCnm7hLhvkXj,2000,7.07107E+20
1A26ASSeActJ9i3So5KVrk1sPEDpp4esvW,2000,7.07107E+20
1AcYRFSNvsYxnbb4q2JV9AyUToU2r5ckkS,2000,7.07107E+20
1APNL4yYytwbj7rfbvBwtXaksfwvgP7aXR,2000,7.07107E+20
1AQ8QKqV6buEydVcz5AjdR452oxoVKdEc9,2000,7.07107E+20
1AqEdbPj2f5gvL6pBo3aEFdNDqYBiTtFKZ,2000,7.07107E+20
1AsH5v8yz3g8uF7VAeVx2yqFhS6SPn7qUS,2000,7.07107E+20
1ATDcrNYQYk3DUfsn9JzwRbUjnpEkJWbLm,2000,7.07107E+20
1Axb9LozVssDDs9SWoTnrMYERPf8tuS1Px,2000,7.07107E+20
1BLAMkJj18khUY1K2XentyuJQyucuupPw8,2000,7.07107E+20
1BmumuRkKaSAqXfy7EsoF3xguyTPPAHy1X,2000,7.07107E+20
